MNIST: 2024-04-15 19:07:51,854 [INFO] EvoJAX MNIST Demo
MNIST: 2024-04-15 19:07:51,854 [INFO] ==============================
MNIST: 2024-04-15 19:07:56,233 [INFO] ConvNetPolicy.num_params = 11274
MNIST: 2024-04-15 19:07:57,244 [INFO] use_for_loop=False
MNIST: 2024-04-15 19:07:57,267 [INFO] Start to train for 5000 iterations.
MNIST: 2024-04-15 19:08:05,995 [INFO] Iter=1, size=128, max=-2.2955, avg=-2.3047, min=-2.3156, std=0.0037
MNIST: 2024-04-15 19:08:06,074 [INFO] Iter=2, size=128, max=-2.2964, avg=-2.3056, min=-2.3189, std=0.0035
MNIST: 2024-04-15 19:08:06,152 [INFO] Iter=3, size=128, max=-2.2961, avg=-2.3037, min=-2.3132, std=0.0030
MNIST: 2024-04-15 19:08:06,231 [INFO] Iter=4, size=128, max=-2.2894, avg=-2.3038, min=-2.3149, std=0.0044
MNIST: 2024-04-15 19:08:06,302 [INFO] Iter=5, size=128, max=-2.2947, avg=-2.3033, min=-2.3166, std=0.0042
MNIST: 2024-04-15 19:08:06,373 [INFO] Iter=6, size=128, max=-2.2896, avg=-2.3027, min=-2.3157, std=0.0047
MNIST: 2024-04-15 19:08:06,445 [INFO] Iter=7, size=128, max=-2.2797, avg=-2.3044, min=-2.3244, std=0.0065
MNIST: 2024-04-15 19:08:06,516 [INFO] Iter=8, size=128, max=-2.2680, avg=-2.2942, min=-2.3134, std=0.0068
MNIST: 2024-04-15 19:08:06,650 [INFO] Iter=9, size=128, max=-2.2592, avg=-2.2857, min=-2.3039, std=0.0081
MNIST: 2024-04-15 19:08:06,721 [INFO] Iter=10, size=128, max=-2.2475, avg=-2.2744, min=-2.3127, std=0.0116
MNIST: 2024-04-15 19:08:06,793 [INFO] Iter=11, size=128, max=-2.2151, avg=-2.2574, min=-2.2874, std=0.0138
MNIST: 2024-04-15 19:08:06,868 [INFO] Iter=12, size=128, max=-2.2085, avg=-2.2515, min=-2.2910, std=0.0181
MNIST: 2024-04-15 19:08:06,940 [INFO] Iter=13, size=128, max=-2.1890, avg=-2.2544, min=-2.3283, std=0.0233
MNIST: 2024-04-15 19:08:07,016 [INFO] Iter=14, size=128, max=-2.1328, avg=-2.2004, min=-2.3161, std=0.0272
MNIST: 2024-04-15 19:08:07,092 [INFO] Iter=15, size=128, max=-2.1075, avg=-2.1809, min=-2.2674, std=0.0310
MNIST: 2024-04-15 19:08:07,164 [INFO] Iter=16, size=128, max=-2.0506, avg=-2.1378, min=-2.3165, std=0.0393
MNIST: 2024-04-15 19:08:07,236 [INFO] Iter=17, size=128, max=-2.0014, avg=-2.0829, min=-2.2063, std=0.0374
MNIST: 2024-04-15 19:08:07,308 [INFO] Iter=18, size=128, max=-1.9418, avg=-2.0318, min=-2.1554, std=0.0443
