iter	adv_short	mi_short	adv_med	mi_med	ent_long	sense_short	intra_short	adv_avg_short	sense_med	w_adv	w_mi	w_div	w_sense	w_intra	w_cons_floor	w_norm	ks_dom_score	ks_sit_score	ks_hist_score	ks_topo_score	ks_dom_weight	ks_sit_weight	ks_hist_weight	ks_topo_weight	ks_winner	ks_win_dom	ks_win_sit	ks_win_hist	ks_win_topo
100.000000	-0.002984	0.000269	-0.005715	0.000169	-0.000069	0.000073	-0.000231	-0.002504	0.000022	0.655213	0.100000	0.417394	0.155035	0.173076	0.100000	0.000000	1.038041	1.001360	1.000000	1.005715	0.253360	0.248756	0.248587	0.249298	0.000000	101.000000	0.000000	0.000000	0.000000
200.000000	-0.006776	0.001456	-0.001278	0.000630	-0.000106	0.000301	0.003642	-0.007945	0.000118	0.730000	0.100000	0.380000	0.146903	0.150000	0.100000	0.000000	1.033599	1.002672	1.000000	1.001278	0.253039	0.249156	0.248823	0.248982	0.000000	201.000000	0.000000	0.000000	0.000000
300.000000	0.003305	0.004607	-0.001385	0.003558	0.000004	0.000155	-0.001126	0.003711	0.000360	0.530000	0.100000	0.480000	0.113452	0.262603	0.100000	0.000000	1.033721	0.996052	1.003303	1.001384	0.253151	0.248428	0.249330	0.249091	0.000000	301.000000	0.000000	0.000000	0.000000
400.000000	0.006848	0.002510	-0.001089	0.006502	-0.000355	-0.000232	0.000426	0.008068	0.000151	0.530000	0.100000	0.480000	0.100000	0.150000	0.100000	0.000000	1.033376	0.995334	1.006848	1.001089	0.253038	0.248271	0.249704	0.248986	0.000000	401.000000	0.000000	0.000000	0.000000
500.000000	0.005853	0.002458	-0.001566	0.004772	-0.000924	-0.000335	0.000162	0.003462	0.000031	0.530000	0.100000	0.480000	0.110419	0.150000	0.100000	0.000000	1.033776	0.995855	1.005853	1.001566	0.253076	0.248323	0.249567	0.249033	0.000000	501.000000	0.000000	0.000000	0.000000
600.000000	0.005492	-0.000232	-0.001361	0.000741	-0.000307	-0.000187	0.000077	0.005648	-0.000220	0.530000	0.106970	0.478257	0.105490	0.150000	0.100000	0.002000	1.033655	0.997378	1.005492	1.001361	0.253035	0.248487	0.249497	0.248982	0.000000	601.000000	0.000000	0.000000	0.000000
700.000000	-0.008106	0.003827	-0.004241	0.002024	-0.000347	0.000296	-0.001799	-0.008149	0.000366	0.730000	0.100000	0.380000	0.100000	0.300000	0.100000	0.004000	1.036529	1.002160	1.000000	1.004241	0.253238	0.248924	0.248655	0.249183	0.000000	701.000000	0.000000	0.000000	0.000000
800.000000	-0.000194	-0.000153	0.003267	0.002829	-0.001660	-0.000401	-0.000495	0.004945	0.000233	0.530000	0.104586	0.478854	0.100000	0.199504	0.100000	0.006000	1.032111	1.000173	1.000000	1.000000	0.253017	0.249009	0.248987	0.248987	0.000000	801.000000	0.000000	0.000000	0.000000
900.000000	-0.002182	0.009154	-0.001801	0.003446	-0.000411	0.000683	-0.001770	-0.001881	0.000357	0.624047	0.100000	0.432976	0.100000	0.300000	0.100000	0.008000	1.034081	0.996536	1.000000	1.001801	0.253261	0.248551	0.248982	0.249206	0.000000	901.000000	0.000000	0.000000	0.000000
1000.000000	0.001084	0.001902	-0.000324	0.000076	0.000529	0.000206	-0.002007	0.004111	0.000011	0.530000	0.100000	0.480000	0.100000	0.300000	0.100000	0.010000	1.032730	0.998508	1.000908	1.000112	0.253096	0.248802	0.249101	0.249002	0.000000	1001.000000	0.000000	0.000000	0.000000
1100.000000	-0.006978	0.004073	0.000095	-0.001832	-0.001525	0.000270	0.000601	-0.009164	-0.000292	0.730000	0.136641	0.370840	0.107299	0.150000	0.100000	0.012000	1.033961	1.001469	1.000000	1.000000	0.253151	0.249072	0.248889	0.248889	0.000000	1101.000000	0.000000	0.000000	0.000000
1200.000000	-0.001925	0.002450	-0.002157	0.001660	0.000417	0.000531	-0.001497	-0.001787	0.000149	0.619330	0.100000	0.435335	0.100000	0.299666	0.100000	0.014000	1.034549	0.999740	0.999861	1.001991	0.253203	0.248834	0.248849	0.249114	0.000000	1201.000000	0.000000	0.000000	0.000000
1300.000000	-0.002085	0.001301	0.001687	0.000986	-0.000278	0.000117	0.000717	-0.003416	-0.000117	0.700813	0.100000	0.394593	0.102922	0.150000	0.100000	0.016000	1.032298	1.000394	1.000000	1.000000	0.253028	0.249023	0.248974	0.248974	0.000000	1301.000000	0.000000	0.000000	0.000000
1400.000000	-0.008618	0.005804	0.002889	-0.000569	0.000184	0.000341	-0.000676	-0.011458	0.000030	0.730000	0.111375	0.377156	0.100000	0.217578	0.100000	0.018000	1.032929	1.001434	0.999939	0.999926	0.253059	0.249105	0.248919	0.248917	0.000000	1401.000000	0.000000	0.000000	0.000000
1500.000000	-0.012213	0.002080	0.000095	0.000758	0.000132	-0.000067	0.000379	-0.011418	0.000088	0.730000	0.100000	0.380000	0.100000	0.150000	0.100000	0.020000	1.032353	1.005105	0.999956	0.999947	0.252887	0.249465	0.248824	0.248823	0.000000	1501.000000	0.000000	0.000000	0.000000
1600.000000	-0.007023	0.005863	-0.002130	-0.000113	-0.000033	0.000402	-0.001051	-0.006350	-0.000010	0.730000	0.102268	0.379433	0.100244	0.255085	0.100000	0.022000	1.034574	1.000601	1.000000	1.002130	0.253169	0.248905	0.248830	0.249095	0.000000	1601.000000	0.000000	0.000000	0.000000
1700.000000	-0.004420	0.006788	-0.000838	0.001173	-0.000245	0.001286	0.000975	-0.002587	0.000083	0.659374	0.100000	0.415313	0.100000	0.150000	0.100000	0.024000	1.033140	0.998832	1.000000	1.000838	0.253130	0.248825	0.248970	0.249075	0.000000	1701.000000	0.000000	0.000000	0.000000
1800.000000	-0.001239	0.006762	0.002064	0.000715	0.000004	0.001130	-0.003437	-0.000416	0.000101	0.550798	0.100000	0.469601	0.100000	0.300000	0.100000	0.026000	1.032336	0.997250	0.999999	0.999998	0.253130	0.248729	0.249071	0.249071	0.000000	1801.000000	0.000000	0.000000	0.000000
1900.000000	0.002965	-0.001488	0.003631	0.000337	-0.000636	0.000073	0.005835	0.003335	-0.000003	0.530000	0.144627	0.468843	0.100079	0.150000	0.100000	0.028000	1.032249	0.999264	1.002965	1.000000	0.252965	0.248827	0.249288	0.248919	0.000000	1901.000000	0.000000	0.000000	0.000000
2000.000000	-0.000739	-0.000395	-0.002308	0.000214	0.000030	-0.000465	0.000165	-0.001644	0.000078	0.612194	0.111840	0.435943	0.100000	0.150000	0.100000	0.030000	1.034648	1.000567	0.999990	1.002296	0.253172	0.248895	0.248823	0.249110	0.000000	2001.000000	0.000000	0.000000	0.000000
2100.000000	0.004286	-0.004077	-0.000509	-0.002083	0.000187	-0.000567	0.005267	0.006172	-0.000376	0.530000	0.263967	0.439008	0.109400	0.150000	0.100000	0.032000	1.034952	0.999904	1.004223	1.000434	0.253147	0.248750	0.249287	0.248816	0.000000	2101.000000	0.000000	0.000000	0.000000
2200.000000	-0.001714	-0.002461	-0.000072	0.000764	-0.000090	-0.000603	-0.001976	-0.001251	0.000273	0.592549	0.173838	0.430266	0.100000	0.300000	0.100000	0.034000	1.032395	1.002090	1.000000	1.000072	0.252981	0.249177	0.248917	0.248925	0.000000	2201.000000	0.000000	0.000000	0.000000
2300.000000	0.001753	-0.000081	-0.003214	-0.001309	0.000193	0.000408	-0.004780	-0.000593	-0.000218	0.559660	0.128623	0.458014	0.105455	0.300000	0.100000	0.036000	1.036884	0.999165	1.001688	1.003136	0.253348	0.248615	0.248929	0.249109	0.000000	2301.000000	0.000000	0.000000	0.000000
2400.000000	0.000029	-0.001300	0.001814	0.001092	0.000057	-0.000823	0.001925	0.001529	0.000415	0.530000	0.139007	0.470248	0.100000	0.150000	0.100000	0.038000	1.032343	1.000636	1.000010	0.999977	0.253025	0.249045	0.248967	0.248963	0.000000	2401.000000	0.000000	0.000000	0.000000
