iter	adv_short	mi_short	adv_med	mi_med	ent_long	sense_short	intra_short	adv_avg_short	sense_med	w_adv	w_mi	w_div	w_sense	w_intra	w_cons_floor	w_norm	ks_dom_score	ks_sit_score	ks_hist_score	ks_topo_score	ks_dom_weight	ks_sit_weight	ks_hist_weight	ks_topo_weight	ks_winner	ks_win_dom	ks_win_sit	ks_win_hist	ks_win_topo
100.000000	-0.002963	0.000298	-0.005731	0.000178	-0.000069	0.000081	-0.000310	-0.002506	0.000021	0.655299	0.100000	0.417351	0.155466	0.180997	0.100000	0.000000	1.038057	1.001335	1.000000	1.005731	0.253362	0.248752	0.248586	0.249300	0.000000	101.000000	0.000000	0.000000	0.000000
200.000000	-0.006669	0.001045	-0.001230	0.000651	-0.000098	0.000280	0.003955	-0.007449	0.000118	0.730000	0.100000	0.380000	0.147311	0.150000	0.100000	0.000000	1.033553	1.002824	1.000000	1.001230	0.253031	0.249173	0.248821	0.248975	0.000000	201.000000	0.000000	0.000000	0.000000
300.000000	0.002758	0.004796	-0.001266	0.003886	0.000015	0.000332	-0.000337	0.002891	0.000410	0.530000	0.100000	0.480000	0.111082	0.183693	0.100000	0.000000	1.033603	0.996231	1.002753	1.001260	0.253156	0.248469	0.249281	0.249095	0.000000	301.000000	0.000000	0.000000	0.000000
400.000000	0.007178	0.002385	-0.001381	0.005492	-0.000308	-0.000457	0.000305	0.007627	0.000068	0.530000	0.100000	0.480000	0.104123	0.150000	0.100000	0.000000	1.033675	0.995233	1.007178	1.001381	0.253050	0.248233	0.249720	0.248997	0.000000	401.000000	0.000000	0.000000	0.000000
500.000000	0.003561	-0.000669	-0.001289	0.003457	-0.000806	-0.000068	0.000157	0.000715	0.000111	0.530000	0.120071	0.474982	0.105312	0.150000	0.100000	0.000000	1.033515	0.998557	1.003561	1.001289	0.253048	0.248663	0.249286	0.249003	0.000000	501.000000	0.000000	0.000000	0.000000
600.000000	0.007688	-0.001118	-0.001343	-0.000678	-0.000118	-0.000109	-0.000039	0.008934	-0.000236	0.530000	0.147097	0.468226	0.105892	0.153871	0.100000	0.002000	1.034340	0.996730	1.007689	1.001343	0.253051	0.248337	0.249701	0.248910	0.000000	601.000000	0.000000	0.000000	0.000000
700.000000	-0.005004	0.005822	-0.004514	0.002939	-0.000590	0.000346	-0.001808	-0.004031	0.000243	0.730000	0.100000	0.380000	0.100000	0.300000	0.100000	0.004000	1.036769	0.999605	1.000000	1.004514	0.253333	0.248669	0.248718	0.249280	0.000000	701.000000	0.000000	0.000000	0.000000
800.000000	0.003216	-0.000345	0.003985	0.001886	-0.002124	-0.000632	-0.000789	0.008156	-0.000064	0.530000	0.110351	0.477412	0.101606	0.228895	0.100000	0.006000	1.032048	0.998567	1.003216	1.000000	0.252960	0.248761	0.249340	0.248939	0.000000	801.000000	0.000000	0.000000	0.000000
900.000000	-0.001356	0.006766	-0.001499	0.001826	-0.000193	0.000565	-0.001750	-0.000874	0.000243	0.573707	0.100000	0.458147	0.100000	0.300000	0.100000	0.008000	1.033808	0.997307	1.000000	1.001499	0.253220	0.248641	0.248976	0.249163	0.000000	901.000000	0.000000	0.000000	0.000000
1000.000000	-0.001519	0.002038	0.000443	-0.000558	-0.000140	0.000329	-0.001477	0.000320	-0.000082	0.530000	0.111155	0.477211	0.102059	0.297726	0.100000	0.010000	1.032874	0.999742	1.000000	1.000000	0.253103	0.248944	0.248976	0.248976	0.000000	1001.000000	0.000000	0.000000	0.000000
1100.000000	-0.011202	0.003254	-0.000826	-0.000838	-0.000835	0.000384	-0.000202	-0.012022	-0.000061	0.730000	0.116767	0.375808	0.101518	0.170185	0.100000	0.012000	1.033886	1.004008	1.000000	1.000826	0.253038	0.249286	0.248787	0.248889	0.000000	1101.000000	0.000000	0.000000	0.000000
1200.000000	-0.000388	-0.000213	-0.001816	-0.000325	0.000088	0.000452	-0.001158	-0.000484	-0.000098	0.554199	0.112882	0.464680	0.102455	0.265806	0.100000	0.014000	1.034488	1.000301	0.999971	1.001781	0.253183	0.248891	0.248850	0.249076	0.000000	1201.000000	0.000000	0.000000	0.000000
1300.000000	-0.000810	-0.004663	-0.000207	-0.000287	-0.000262	-0.000439	0.001672	-0.001801	-0.000298	0.620062	0.245631	0.398561	0.107446	0.150000	0.100000	0.016000	1.032794	1.002742	1.000000	1.000207	0.252994	0.249221	0.248880	0.248905	0.000000	1301.000000	0.000000	0.000000	0.000000
1400.000000	-0.014724	0.003610	0.000806	-0.000403	0.000289	0.000011	-0.000129	-0.014479	-0.000048	0.730000	0.108070	0.377983	0.101194	0.162926	0.100000	0.018000	1.032778	1.005615	0.999904	0.999884	0.252915	0.249503	0.248792	0.248790	0.000000	1401.000000	0.000000	0.000000	0.000000
1500.000000	-0.012565	0.000221	-0.000061	0.000088	0.000011	0.000137	0.001129	-0.010121	-0.000024	0.730000	0.100000	0.380000	0.100609	0.150000	0.100000	0.020000	1.032397	1.006212	0.999996	1.000056	0.252852	0.249563	0.248789	0.248796	0.000000	1501.000000	0.000000	0.000000	0.000000
1600.000000	-0.000452	0.008547	-0.000972	-0.000225	0.000084	0.000722	-0.001715	-0.002208	0.000094	0.640405	0.104501	0.423672	0.100000	0.300000	0.100000	0.022000	1.033544	0.995971	0.999972	1.000938	0.253256	0.248543	0.249040	0.249161	0.000000	1601.000000	0.000000	0.000000	0.000000
1700.000000	-0.005767	0.005366	-0.001990	0.000661	-0.000342	0.001175	0.002395	-0.005087	0.000042	0.730000	0.100000	0.380000	0.100000	0.150000	0.100000	0.024000	1.034279	1.000216	1.000000	1.001990	0.253158	0.248883	0.248856	0.249104	0.000000	1701.000000	0.000000	0.000000	0.000000
1800.000000	0.002086	0.001633	0.001028	0.000769	0.000052	0.000528	0.000870	0.001408	0.000244	0.530000	0.100000	0.480000	0.100000	0.150000	0.100000	0.026000	1.032342	0.998142	1.002068	0.999979	0.253038	0.248748	0.249237	0.248977	0.000000	1801.000000	0.000000	0.000000	0.000000
1900.000000	0.001971	-0.002275	0.003755	0.000809	-0.000121	-0.000072	0.005458	0.003955	-0.000063	0.530000	0.168258	0.462936	0.101584	0.150000	0.100000	0.028000	1.032319	1.000154	1.001971	1.000000	0.252975	0.248939	0.249165	0.248920	0.000000	1901.000000	0.000000	0.000000	0.000000
2000.000000	0.000966	0.000599	-0.001678	0.001060	-0.000057	-0.000400	-0.000599	0.000157	0.000140	0.530000	0.100000	0.480000	0.100000	0.209948	0.100000	0.030000	1.034006	0.999218	1.000966	1.001678	0.253143	0.248778	0.248995	0.249084	0.000000	2001.000000	0.000000	0.000000	0.000000
2100.000000	0.007607	-0.011967	-0.000620	-0.003085	0.000369	-0.001265	0.007413	0.006565	-0.000309	0.530000	0.300000	0.430000	0.107729	0.150000	0.100000	0.032000	1.036090	1.002230	1.007483	1.000472	0.253077	0.248829	0.249483	0.248610	0.000000	2101.000000	0.000000	0.000000	0.000000
2200.000000	-0.005977	-0.004077	-0.001027	0.000526	0.000432	-0.000967	-0.002825	-0.002441	0.000109	0.652032	0.222301	0.388409	0.100000	0.300000	0.100000	0.034000	1.033421	1.005040	0.999856	1.000854	0.252965	0.249401	0.248755	0.248879	0.000000	2201.000000	0.000000	0.000000	0.000000
2300.000000	0.010869	0.000022	-0.000770	-0.001122	0.000207	0.000256	-0.003450	0.010967	-0.000359	0.530000	0.122439	0.474390	0.108967	0.300000	0.100000	0.036000	1.034255	0.994584	1.010800	1.000687	0.253033	0.248063	0.250083	0.248821	0.000000	2301.000000	0.000000	0.000000	0.000000
2400.000000	0.003417	-0.005638	-0.001463	0.001258	-0.000402	-0.001711	0.003458	0.005376	0.000205	0.530000	0.250000	0.442500	0.100000	0.150000	0.100000	0.038000	1.033744	1.001122	1.003417	1.001463	0.252988	0.248895	0.249180	0.248937	0.000000	2401.000000	0.000000	0.000000	0.000000
2500.000000	0.012610	0.007537	0.002794	-0.000587	0.000638	0.001947	-0.004184	0.005626	0.000060	0.530000	0.111730	0.477067	0.100000	0.300000	0.100000	0.040000	1.033008	0.989980	1.012395	0.999745	0.253038	0.247653	0.250444	0.248865	0.000000	2501.000000	0.000000	0.000000	0.000000
2600.000000	-0.004240	-0.006848	-0.004015	-0.001102	-0.000202	-0.002074	0.005867	-0.002005	-0.000212	0.630272	0.272031	0.386856	0.105301	0.150000	0.100000	0.040000	1.037424	1.005560	1.000000	1.004014	0.253223	0.249221	0.248529	0.249028	0.000000	2601.000000	0.000000	0.000000	0.000000
2700.000000	-0.002944	-0.004281	-0.002036	-0.001160	0.000191	-0.000723	-0.003843	0.003513	-0.000506	0.530000	0.251641	0.442090	0.112653	0.300000	0.100000	0.040000	1.035558	1.003619	0.999936	1.001960	0.253174	0.249164	0.248705	0.248957	0.000000	2701.000000	0.000000	0.000000	0.000000
2800.000000	-0.014717	-0.009975	-0.004931	-0.001659	-0.000182	-0.001607	0.003171	-0.007357	-0.000314	0.730000	0.283178	0.334205	0.120102	0.150000	0.100000	0.040000	1.038901	1.012425	1.000000	1.004931	0.253117	0.249788	0.248241	0.248854	0.000000	2801.000000	0.000000	0.000000	0.000000
2900.000000	0.004354	0.000515	-0.001605	-0.000325	0.000355	-0.000290	-0.000366	0.005946	-0.000215	0.530000	0.106491	0.478377	0.105375	0.186613	0.100000	0.040000	1.034313	0.997570	1.004235	1.001462	0.253127	0.248520	0.249349	0.249004	0.000000	2901.000000	0.000000	0.000000	0.000000
3000.000000	0.003672	0.008168	-0.004907	-0.003727	0.000052	0.001611	-0.007040	-0.002141	-0.000918	0.637025	0.174547	0.407851	0.122959	0.300000	0.100000	0.040000	1.040977	0.994100	1.003655	1.004886	0.253777	0.247898	0.249085	0.249239	0.000000	3001.000000	0.000000	0.000000	0.000000
3100.000000	0.006414	0.002077	0.007786	0.000763	-0.000333	0.000961	-0.002197	0.000991	0.000106	0.530000	0.100000	0.480000	0.100000	0.300000	0.100000	0.040000	1.032290	0.995766	1.006414	1.000000	0.252970	0.248392	0.249718	0.248919	0.000000	3101.000000	0.000000	0.000000	0.000000
3200.000000	0.001348	-0.003429	-0.008934	-0.001999	-0.000454	-0.001091	0.002532	0.003759	-0.000592	0.530000	0.242851	0.444287	0.114802	0.150000	0.100000	0.040000	1.043206	1.001044	1.001348	1.008934	0.253715	0.248422	0.248460	0.249404	0.000000	3201.000000	0.000000	0.000000	0.000000
3300.000000	0.004387	-0.000451	-0.004642	-0.000692	0.000142	0.000915	-0.009579	-0.006333	-0.000297	0.730000	0.127352	0.373162	0.107427	0.300000	0.100000	0.040000	1.037688	0.998037	1.004339	1.004585	0.253330	0.248357	0.249141	0.249172	0.000000	3301.000000	0.000000	0.000000	0.000000
3400.000000	-0.031460	-0.004008	-0.002699	-0.000186	-0.000340	-0.001544	0.008289	-0.011349	-0.000063	0.730000	0.223948	0.349013	0.101572	0.150000	0.100000	0.040000	1.035174	1.017988	1.000000	1.002699	0.252659	0.250497	0.248254	0.248590	0.000000	3401.000000	0.000000	0.000000	0.000000
3500.000000	0.022821	-0.000070	0.000411	0.000595	0.001061	0.000659	0.000703	0.016857	0.000149	0.530000	0.102109	0.479473	0.100000	0.150000	0.100000	0.040000	1.032479	0.988754	1.022459	0.999576	0.252713	0.247248	0.251450	0.248589	0.000000	3495.000000	0.000000	6.000000	0.000000
3600.000000	-0.024714	-0.002553	0.004796	0.000221	0.000729	-0.000971	0.004751	0.002704	0.000097	0.530000	0.176584	0.460854	0.100000	0.150000	0.100000	0.040000	1.032434	1.013789	0.999757	0.999708	0.252635	0.250290	0.248541	0.248534	0.000000	3581.000000	0.000000	20.000000	0.000000
3700.000000	-0.001257	0.000412	0.002880	-0.000065	-0.000014	0.000151	-0.000604	-0.018629	0.000263	0.730000	0.101305	0.379674	0.100000	0.210365	0.100000	0.040000	1.032399	1.000423	1.000000	1.000000	0.253036	0.249023	0.248970	0.248970	0.000000	3671.000000	0.000000	30.000000	0.000000
3800.000000	0.020068	0.002762	-0.000005	-0.000173	0.000051	0.000797	-0.008703	0.023756	-0.000152	0.530000	0.103469	0.479133	0.103790	0.300000	0.100000	0.040000	1.032521	0.988687	1.020051	0.999985	0.252783	0.247303	0.251211	0.248704	0.000000	3771.000000	0.000000	30.000000	0.000000
