iter	adv_short	mi_short	adv_med	mi_med	ent_long	sense_short	intra_short	adv_avg_short	sense_med	w_adv	w_mi	w_div	w_sense	w_intra	w_cons_floor	w_norm	ks_dom_score	ks_sit_score	ks_hist_score	ks_topo_score	ks_dom_weight	ks_sit_weight	ks_hist_weight	ks_topo_weight	ks_winner	ks_win_dom	ks_win_sit	ks_win_hist	ks_win_topo
100.000000	-0.002760	0.000272	-0.005768	0.000167	-0.000069	0.000156	-0.000414	-0.002309	0.000029	0.645468	0.100000	0.422266	0.156540	0.191436	0.100000	0.000000	1.038094	1.001246	1.000000	1.005768	0.253367	0.248742	0.248587	0.249305	0.000000	101.000000	0.000000	0.000000	0.000000
200.000000	-0.006293	0.001054	-0.001153	0.000608	-0.000092	0.000262	0.003605	-0.007086	0.000099	0.730000	0.100000	0.380000	0.149094	0.150000	0.100000	0.000000	1.033476	1.002630	1.000000	1.001153	0.253032	0.249160	0.248832	0.248976	0.000000	201.000000	0.000000	0.000000	0.000000
300.000000	0.002576	0.005117	-0.001416	0.003584	0.000026	0.000407	-0.000869	0.001697	0.000391	0.530000	0.100000	0.480000	0.109729	0.236949	0.100000	0.000000	1.033755	0.996162	1.002567	1.001405	0.253173	0.248459	0.249256	0.249111	0.000000	301.000000	0.000000	0.000000	0.000000
400.000000	0.004967	-0.002040	-0.001231	0.003884	-0.000358	-0.000730	0.000302	0.007708	0.000050	0.530000	0.161194	0.464702	0.110660	0.150000	0.100000	0.000000	1.033517	0.998544	1.004967	1.001231	0.253006	0.248620	0.249420	0.248954	0.000000	401.000000	0.000000	0.000000	0.000000
500.000000	0.005891	-0.002832	-0.000221	0.003913	-0.001106	-0.000145	0.000022	0.003114	0.000033	0.530000	0.184961	0.458760	0.111246	0.150000	0.100000	0.000000	1.032406	0.998481	1.005891	1.000221	0.252905	0.248652	0.249575	0.248868	0.000000	501.000000	0.000000	0.000000	0.000000
600.000000	0.005807	0.001217	-0.000905	0.000495	-0.000518	0.000129	-0.000038	0.006090	-0.000275	0.530000	0.100000	0.480000	0.106881	0.153803	0.100000	0.002000	1.033170	0.996497	1.005807	1.000905	0.253021	0.248424	0.249583	0.248972	0.000000	601.000000	0.000000	0.000000	0.000000
700.000000	-0.004883	0.005590	-0.003519	0.002212	-0.000558	0.000275	-0.001720	-0.005346	0.000225	0.730000	0.100000	0.380000	0.100000	0.300000	0.100000	0.004000	1.035779	0.999660	1.000000	1.003519	0.253269	0.248736	0.248778	0.249217	0.000000	701.000000	0.000000	0.000000	0.000000
800.000000	0.000683	0.001719	0.003334	0.003075	-0.001005	-0.000152	-0.000376	0.005043	0.000322	0.530000	0.100000	0.480000	0.100000	0.187628	0.100000	0.006000	1.032199	0.998800	1.000683	1.000000	0.253047	0.248856	0.249091	0.249006	0.000000	801.000000	0.000000	0.000000	0.000000
900.000000	0.006081	0.004783	-0.001202	0.001761	-0.000855	0.000237	-0.001361	0.004421	0.000253	0.530000	0.100000	0.480000	0.100000	0.286077	0.100000	0.008000	1.033421	0.994583	1.006081	1.001202	0.253087	0.248220	0.249651	0.249042	0.000000	901.000000	0.000000	0.000000	0.000000
1000.000000	0.006063	0.001703	0.000276	-0.000360	0.000948	0.000237	-0.001199	0.005123	-0.000023	0.530000	0.107196	0.478201	0.100563	0.269879	0.100000	0.010000	1.032823	0.996127	1.005745	0.999621	0.253042	0.248442	0.249639	0.248876	0.000000	1001.000000	0.000000	0.000000	0.000000
1100.000000	-0.010973	0.003088	-0.000109	-0.001360	-0.001576	0.000742	0.000104	-0.011904	-0.000044	0.730000	0.127209	0.373198	0.101088	0.150000	0.100000	0.012000	1.033592	1.003975	1.000000	1.000109	0.253034	0.249314	0.248819	0.248833	0.000000	1101.000000	0.000000	0.000000	0.000000
1200.000000	0.002049	0.004078	-0.000472	0.001795	0.000031	0.000488	-0.002561	-0.000320	0.000088	0.546013	0.100000	0.471993	0.100000	0.300000	0.100000	0.014000	1.032811	0.996942	1.002038	1.000460	0.253106	0.248607	0.249242	0.249045	0.000000	1201.000000	0.000000	0.000000	0.000000
1300.000000	-0.004015	-0.001334	-0.001723	-0.000155	0.000290	-0.000600	0.001970	-0.005614	-0.000275	0.730000	0.143137	0.369216	0.106958	0.150000	0.100000	0.016000	1.034253	1.002679	0.999903	1.001607	0.253093	0.249129	0.248783	0.248995	0.000000	1301.000000	0.000000	0.000000	0.000000
1400.000000	-0.010826	0.001309	0.001925	-0.000474	-0.000672	-0.000094	-0.000847	-0.012136	0.000051	0.730000	0.109481	0.377630	0.100000	0.234730	0.100000	0.018000	1.032718	1.004789	1.000000	1.000000	0.252929	0.249421	0.248825	0.248825	0.000000	1401.000000	0.000000	0.000000	0.000000
1500.000000	-0.006567	0.003219	0.003150	0.000637	-0.000075	-0.000043	0.000243	-0.008808	0.000170	0.730000	0.100000	0.380000	0.100000	0.150000	0.100000	0.020000	1.032325	1.001687	1.000000	1.000000	0.252990	0.249144	0.248933	0.248933	0.000000	1501.000000	0.000000	0.000000	0.000000
1600.000000	-0.001983	0.006157	0.000535	0.001024	0.000129	0.000832	-0.000457	-0.004304	0.000356	0.730000	0.100000	0.380000	0.100000	0.195749	0.100000	0.022000	1.032353	0.997924	0.999957	0.999948	0.253114	0.248794	0.249047	0.249046	0.000000	1601.000000	0.000000	0.000000	0.000000
1700.000000	-0.001538	0.003555	-0.002149	0.000425	0.000083	0.001297	0.002128	0.000050	0.000090	0.530000	0.100000	0.480000	0.100000	0.150000	0.100000	0.024000	1.034495	0.998995	0.999973	1.002116	0.253214	0.248759	0.248880	0.249147	0.000000	1701.000000	0.000000	0.000000	0.000000
1800.000000	0.005865	0.002076	0.001528	0.001056	0.000015	0.000019	-0.001310	0.004829	0.000237	0.530000	0.100000	0.480000	0.100000	0.280993	0.100000	0.026000	1.032337	0.996039	1.005860	0.999994	0.252984	0.248434	0.249657	0.248926	0.000000	1801.000000	0.000000	0.000000	0.000000
1900.000000	-0.002937	-0.002794	0.005003	0.000732	-0.000211	-0.000297	0.005876	-0.000915	0.000095	0.575748	0.183812	0.436173	0.100000	0.150000	0.100000	0.028000	1.032307	1.002869	1.000000	1.000000	0.252951	0.249255	0.248897	0.248897	0.000000	1901.000000	0.000000	0.000000	0.000000
2000.000000	-0.000821	0.000513	-0.000768	0.001407	-0.000077	-0.000059	-0.000999	-0.000220	0.000347	0.541017	0.100000	0.474491	0.100000	0.249879	0.100000	0.030000	1.033093	1.000154	1.000000	1.000768	0.253086	0.248952	0.248933	0.249029	0.000000	2001.000000	0.000000	0.000000	0.000000
2100.000000	0.005364	-0.012316	-0.002518	-0.003606	-0.000059	-0.001210	0.006798	0.007849	-0.000378	0.530000	0.300000	0.430000	0.109438	0.150000	0.100000	0.032000	1.038451	1.003521	1.005364	1.002518	0.253262	0.248878	0.249107	0.248753	0.000000	2101.000000	0.000000	0.000000	0.000000
2200.000000	-0.001790	-0.000439	-0.000204	0.002388	0.000066	-0.000292	-0.003665	0.000055	0.000270	0.530000	0.113179	0.476705	0.100000	0.300000	0.100000	0.034000	1.032548	1.001115	0.999978	1.000177	0.253024	0.249078	0.248937	0.248961	0.000000	2201.000000	0.000000	0.000000	0.000000
2300.000000	-0.002041	0.000978	0.001625	0.001909	0.000199	-0.000106	-0.004249	-0.001722	0.000555	0.616084	0.100000	0.436958	0.100000	0.300000	0.100000	0.036000	1.032362	1.000533	0.999934	0.999920	0.253034	0.249039	0.248964	0.248963	0.000000	2301.000000	0.000000	0.000000	0.000000
