iter	adv_max	adv_avg	adv_min	adv_std	mi_max	mi_avg	mi_min	mi_std	r_cons_avg	r_sense_avg	r_intra_avg	norm_pen_avg	safety_avg	spread_avg	real_fake_loss	ca_blend	ca_rfl_gate	ca_has_data	ks_winner
100.000000	-1.063615	-1.101987	-1.144944	0.013032	-2.378306	-2.388700	-2.396249	0.002799	0.247370	0.007384	0.885039	0.089279	9.139975	0.222952	0.628910	0.000000	0.000000	1.000000	0.000000
200.000000	-1.195154	-1.299524	-1.375734	0.023470	-2.308984	-2.353427	-2.384122	0.012442	0.262231	0.010362	0.788351	0.094557	9.178979	0.241984	0.584628	0.000000	0.507442	1.000000	0.000000
300.000000	-1.188458	-1.355912	-1.521986	0.059288	-2.060581	-2.213744	-2.355048	0.053214	0.245705	0.026109	0.961166	0.037478	9.386831	0.179817	0.533474	0.000000	1.000000	1.000000	0.000000
400.000000	-1.218433	-1.376959	-1.540973	0.048853	-1.720427	-2.036819	-2.386211	0.116378	0.176297	0.025736	0.989301	0.051799	9.479413	0.158259	0.478767	0.000000	1.000000	1.000000	0.000000
500.000000	-1.520630	-1.692492	-2.016659	0.086782	-1.389193	-2.011383	-2.847330	0.251792	0.161943	0.025502	0.999213	0.056147	9.570867	0.131568	0.433990	0.000000	1.000000	1.000000	0.000000
600.000000	-1.689263	-1.905825	-2.167486	0.098988	-0.897049	-1.633622	-2.829308	0.362631	0.127783	0.033793	0.985201	0.035854	10.068546	0.095545	0.394170	0.000000	0.283396	1.000000	0.000000
700.000000	-1.691919	-1.810022	-1.971930	0.045482	-0.692822	-1.293268	-2.621017	0.321159	0.091666	0.036481	0.933494	0.025511	10.601927	0.072883	0.370743	0.000000	0.000000	1.000000	0.000000
800.000000	-1.670729	-1.763936	-1.921940	0.045145	-0.454147	-1.061500	-3.629732	0.350596	0.085853	0.053330	0.911550	0.022540	10.946554	0.068113	0.374402	0.000000	0.000000	1.000000	0.000000
900.000000	-1.789479	-1.973570	-2.136421	0.057840	-0.475355	-1.251683	-3.614851	0.545240	0.100575	0.049358	0.966259	0.035545	10.533398	0.083859	0.351282	0.000000	0.000000	1.000000	0.000000
1000.000000	-2.016190	-2.152797	-2.287353	0.047139	-0.343585	-0.946258	-2.475249	0.370027	0.082238	0.055747	0.876983	0.016351	11.423029	0.060190	0.331507	0.000000	0.000000	1.000000	0.000000
1100.000000	-1.969284	-2.124274	-2.322001	0.063740	-0.344084	-0.778368	-1.903465	0.235667	0.071365	0.055095	0.914926	0.011467	11.185621	0.057213	0.334794	0.000000	0.000000	1.000000	0.000000
1200.000000	-2.017855	-2.209775	-2.385921	0.064414	-0.206290	-0.714338	-1.867454	0.219964	0.062446	0.053834	0.891174	0.008822	11.336008	0.053380	0.333900	0.000000	0.000000	1.000000	0.000000
1300.000000	-2.105413	-2.273131	-2.501891	0.064216	-0.411547	-1.100455	-2.621123	0.301404	0.070849	0.029969	0.944208	0.008832	10.218427	0.056042	0.316044	0.000000	0.000000	1.000000	0.000000
1400.000000	-2.206912	-2.360966	-2.529649	0.046181	-0.159966	-0.722523	-2.612117	0.301546	0.068964	0.062778	0.879413	0.012651	11.486458	0.056601	0.316634	0.000000	0.000000	1.000000	0.000000
1500.000000	-2.204586	-2.372134	-2.544922	0.073403	-0.209910	-0.720439	-1.684576	0.212329	0.061309	0.047283	0.857316	0.006091	11.157264	0.048956	0.304667	0.000000	0.000000	1.000000	0.000000
1600.000000	-1.949492	-2.129812	-2.326619	0.056392	-0.131336	-0.471818	-1.117507	0.166026	0.060927	0.068492	0.865484	0.005943	11.823994	0.049215	0.333016	0.000000	0.000000	1.000000	0.000000
1700.000000	-1.999599	-2.228154	-2.425992	0.076078	-0.117615	-0.503528	-1.677641	0.214111	0.061629	0.064665	0.820467	0.005235	11.617192	0.046257	0.298137	0.000000	0.000000	1.000000	0.000000
1800.000000	-2.069739	-2.242044	-2.421022	0.060688	-0.107815	-0.416924	-1.530545	0.190792	0.061657	0.068307	0.841289	0.004201	11.715308	0.046244	0.314660	0.000000	0.000000	1.000000	0.000000
1900.000000	-1.961026	-2.253129	-2.516680	0.119284	-0.101747	-0.494200	-2.000579	0.284534	0.056797	0.055649	0.481028	0.002282	13.580716	0.025200	0.308719	0.000000	0.000000	1.000000	0.000000
2000.000000	-2.167156	-2.295907	-2.512508	0.065162	-0.104281	-0.548092	-1.405596	0.214243	0.056788	0.049108	0.916719	0.004363	10.652431	0.050199	0.319926	0.000000	0.000000	1.000000	0.000000
2100.000000	-2.036222	-2.207254	-2.396086	0.057466	-0.289063	-0.779183	-1.626691	0.234091	0.065785	0.035917	0.981060	0.007126	10.093473	0.056179	0.310055	0.000000	0.000000	1.000000	0.000000
2200.000000	-2.105488	-2.335306	-2.617367	0.101506	-0.159767	-0.695224	-2.293260	0.263680	0.067815	0.047565	0.926047	0.007068	10.524700	0.053371	0.298510	0.000000	0.000000	1.000000	0.000000
2300.000000	-2.185216	-2.410735	-2.637100	0.079084	-0.078876	-0.491058	-1.494045	0.257754	0.059468	0.060912	0.793672	0.002627	11.291002	0.042310	0.302173	0.000000	0.000000	1.000000	0.000000
2400.000000	-2.137080	-2.370514	-2.645358	0.098205	-0.053873	-0.658963	-1.915991	0.328119	0.063111	0.050357	0.807959	0.004022	10.766342	0.044419	0.294249	0.000000	0.000000	1.000000	0.000000
2500.000000	-2.227332	-2.453982	-2.635437	0.073129	-0.080590	-0.335603	-1.001723	0.160700	0.059856	0.077269	0.833735	0.003480	12.040195	0.045161	0.286542	0.000000	0.000000	1.000000	0.000000
2600.000000	-2.170251	-2.443109	-2.732595	0.094967	-0.137077	-0.643058	-2.958068	0.299583	0.070539	0.049791	0.965802	0.007642	10.489358	0.055932	0.295662	0.000000	0.000000	1.000000	0.000000
2700.000000	-2.093774	-2.318354	-2.628224	0.094864	-0.206852	-0.865879	-2.010512	0.332032	0.073301	0.028013	0.903412	0.004602	10.006561	0.049773	0.286438	0.000000	0.000000	1.000000	0.000000
2800.000000	-1.932695	-2.267020	-2.617859	0.125031	-0.091098	-0.766738	-2.454961	0.385128	0.077163	0.042645	0.976295	0.011699	10.228724	0.060513	0.313837	0.000000	0.000000	1.000000	0.000000
2900.000000	-2.073505	-2.620530	-2.954921	0.148161	-0.057426	-0.990425	-4.158535	0.611430	0.083378	0.045342	0.969550	0.013280	10.192388	0.061758	0.312426	0.000000	0.000000	1.000000	0.000000
3000.000000	-1.552217	-2.224639	-2.722986	0.223138	-0.079776	-0.587515	-2.592984	0.416199	0.075741	0.067990	0.785705	0.007185	12.072116	0.046234	0.303025	0.000000	0.000000	1.000000	0.000000
3100.000000	-0.951477	-2.111304	-2.982831	0.333950	-0.077247	-0.888011	-3.703104	0.642926	0.075156	0.061531	0.840254	0.009522	11.328975	0.051416	0.365054	0.000000	0.000000	1.000000	0.000000
3200.000000	-1.173810	-2.045600	-2.864556	0.347120	-0.126206	-0.803879	-3.677953	0.553020	0.079016	0.069307	0.887535	0.012408	11.231301	0.056770	0.359748	0.000000	0.000000	1.000000	0.000000
3300.000000	-0.958894	-1.890592	-3.047153	0.390996	-0.248956	-1.586082	-5.977049	0.874684	0.111592	0.037025	0.944304	0.026501	10.109050	0.073638	0.469177	0.000000	1.000000	1.000000	0.000000
3400.000000	-1.309760	-2.125512	-2.689023	0.270543	-0.091388	-0.551522	-2.571342	0.364326	0.068242	0.080093	0.752929	0.005662	12.417066	0.043124	0.356772	0.000000	0.000000	1.000000	0.000000
3500.000000	-0.618275	-1.436652	-2.289926	0.351293	-0.172348	-1.054010	-4.517872	0.687730	0.083751	0.039609	0.803169	0.007739	10.981378	0.047724	0.401389	0.000000	0.427780	1.000000	0.000000
3600.000000	-0.388637	-1.760018	-2.899260	0.649512	-0.301630	-1.669423	-5.136022	0.817161	0.108170	0.029372	0.900022	0.018616	9.971050	0.063584	0.435999	0.000000	1.000000	1.000000	0.000000
3700.000000	-0.771402	-1.673860	-2.497880	0.329893	-0.116831	-0.933976	-4.169491	0.688715	0.078982	0.049943	0.823240	0.008752	10.951263	0.049807	0.419927	0.000000	0.798535	1.000000	0.000000
3800.000000	-1.212761	-2.226715	-2.824646	0.278583	-0.282341	-0.885253	-3.673268	0.427999	0.069819	0.044022	0.813354	0.004690	10.680460	0.045332	0.450314	0.000000	1.000000	1.000000	0.000000
3900.000000	-1.235699	-2.006357	-2.675122	0.275359	-0.255691	-0.927556	-2.595821	0.382741	0.074758	0.036860	0.879159	0.008314	10.353451	0.052255	0.417247	0.000000	0.744943	1.000000	0.000000
4000.000000	-0.675974	-1.582896	-2.566390	0.412155	-0.143695	-0.876649	-4.638803	0.736761	0.072151	0.037346	0.468170	0.002845	12.063247	0.024000	0.404423	0.000000	0.488464	1.000000	0.000000
4100.000000	-0.655742	-1.563606	-2.254210	0.306045	-0.163075	-1.018328	-3.850922	0.580057	0.078376	0.036514	0.843470	0.005692	10.330345	0.047760	0.407408	0.000000	0.548161	1.000000	0.000000
4200.000000	-1.305427	-2.106036	-2.738522	0.282945	-0.147037	-0.739834	-2.633017	0.526574	0.067096	0.042598	0.833840	0.005497	10.672041	0.047133	0.427921	0.000000	0.958428	1.000000	0.000000
4300.000000	-0.987582	-2.012882	-2.574197	0.336122	-0.158998	-0.489170	-2.569338	0.308721	0.059267	0.060325	0.702384	0.000865	11.515361	0.035918	0.345095	0.000000	0.000000	1.000000	0.000000
4400.000000	-1.212055	-2.031422	-2.597663	0.287563	-0.068764	-0.491631	-2.491524	0.435705	0.064561	0.057272	0.790141	0.004235	11.123408	0.043686	0.406419	0.000000	0.528374	1.000000	0.000000
4500.000000	-1.305089	-1.874508	-2.422939	0.181279	-0.145670	-0.895306	-3.190334	0.658905	0.076000	0.047180	0.785264	0.004942	10.582979	0.044032	0.447539	0.000000	1.000000	1.000000	0.000000
4600.000000	-0.601886	-1.496538	-2.406238	0.460516	-0.105905	-0.765779	-4.194922	0.772551	0.066884	0.055429	0.505587	0.002436	11.941657	0.026126	0.428050	0.000961	0.961003	1.000000	0.000000
4700.000000	-0.872039	-1.774340	-2.594474	0.412917	-0.070986	-0.544500	-3.626614	0.524846	0.064278	0.062359	0.747621	0.003651	11.372596	0.040817	0.388609	0.000344	0.172188	1.000000	0.000000
