iter	adv_short	mi_short	adv_med	mi_med	ent_long	sense_short	intra_short	adv_avg_short	sense_med	shape_div_avg	w_adv	w_mi	w_div	w_sense	w_intra	w_shape	w_cons_floor	w_norm	ks_dom_score	ks_sit_score	ks_hist_score	ks_topo_score	ks_dom_weight	ks_sit_weight	ks_hist_weight	ks_topo_weight	ks_winner	ks_win_dom	ks_win_sit	ks_win_hist	ks_win_topo
100.000000	-0.004233	0.000149	-0.005640	0.000066	-0.000065	0.000022	-0.001166	-0.003246	0.000026	0.425597	0.692306	0.100000	0.398847	0.158954	0.266584	0.120000	0.100000	0.000000	1.037966	1.002046	1.000000	1.005640	0.253334	0.248824	0.248570	0.249272	0.000000	101.000000	0.000000	0.000000	0.000000
200.000000	-0.003120	0.000994	0.000782	0.000353	-0.000024	0.000134	0.001118	-0.004309	0.000137	0.439292	0.730000	0.100000	0.380000	0.157211	0.150000	0.120000	0.100000	0.000000	1.032332	1.001066	1.000000	1.000000	0.253010	0.249085	0.248953	0.248953	0.000000	201.000000	0.000000	0.000000	0.000000
300.000000	0.003616	0.001426	-0.000613	0.000693	0.000003	0.000057	0.000929	0.002777	0.000091	0.352503	0.530000	0.100000	0.480000	0.144306	0.150000	0.120000	0.100000	0.000000	1.032949	0.997482	1.003615	1.000612	0.253048	0.248600	0.249363	0.248989	0.000000	301.000000	0.000000	0.000000	0.000000
400.000000	0.000951	0.001876	-0.002111	0.002946	-0.000173	0.000010	-0.001365	0.002121	0.000118	0.346219	0.530000	0.100000	0.480000	0.143869	0.286531	0.120000	0.100000	0.000000	1.034423	0.998588	1.000951	1.002111	0.253189	0.248693	0.248987	0.249131	0.000000	401.000000	0.000000	0.000000	0.000000
500.000000	0.003403	0.005752	-0.000993	0.004067	-0.000654	0.000099	0.000108	0.000703	0.000019	0.298595	0.530000	0.100000	0.480000	0.137679	0.150000	0.120000	0.100000	0.000000	1.033240	0.995433	1.003403	1.000993	0.253134	0.248394	0.249386	0.249086	0.000000	501.000000	0.000000	0.000000	0.000000
600.000000	0.007400	-0.004476	0.000000	0.001689	-0.000419	-0.000083	0.000388	0.007150	-0.000050	0.223536	0.530000	0.234270	0.446432	0.116859	0.150000	0.120000	0.100000	0.002000	1.032279	0.998557	1.007400	1.000000	0.252850	0.248623	0.249725	0.248802	0.000000	601.000000	0.000000	0.000000	0.000000
700.000000	-0.004923	-0.005241	-0.003537	0.002589	-0.000155	-0.000193	-0.001052	-0.005904	0.000110	0.196504	0.730000	0.250000	0.342500	0.124916	0.255186	0.120000	0.100000	0.004000	1.035851	1.005095	1.000000	1.003537	0.253104	0.249241	0.248607	0.249047	0.000000	701.000000	0.000000	0.000000	0.000000
800.000000	0.006120	0.003332	0.003590	0.001918	-0.000253	0.000284	-0.000342	0.007143	0.000040	0.161558	0.530000	0.100000	0.480000	0.102894	0.184222	0.120000	0.100000	0.006000	1.032301	0.995286	1.006120	1.000000	0.252996	0.248356	0.249705	0.248942	0.000000	801.000000	0.000000	0.000000	0.000000
900.000000	-0.002912	-0.004596	-0.001875	0.001537	-0.000579	0.000174	-0.001131	-0.003013	0.000094	0.198058	0.680638	0.237892	0.370208	0.103541	0.263097	0.120000	0.100000	0.008000	1.034132	1.003762	1.000000	1.001875	0.253036	0.249223	0.248754	0.248987	0.000000	901.000000	0.000000	0.000000	0.000000
1000.000000	0.003361	-0.002070	0.002313	-0.001505	-0.000785	0.000104	0.000031	0.005042	-0.000113	0.146048	0.530000	0.192199	0.456950	0.102837	0.150000	0.120000	0.100000	0.010000	1.033735	0.999358	1.003361	1.000000	0.253090	0.248777	0.249276	0.248857	0.000000	1001.000000	0.000000	0.000000	0.000000
1100.000000	-0.006887	-0.000103	-0.001502	0.000885	-0.000262	0.000738	0.001074	-0.006117	0.000063	0.128043	0.730000	0.103089	0.379228	0.100000	0.150000	0.120000	0.100000	0.012000	1.033802	1.003507	1.000000	1.001502	0.253024	0.249221	0.248784	0.248971	0.000000	1101.000000	0.000000	0.000000	0.000000
1200.000000	-0.000751	0.001915	-0.000377	0.003568	-0.000205	0.000265	-0.000290	-0.001229	0.000210	0.145583	0.591461	0.100000	0.449270	0.100000	0.179037	0.120000	0.100000	0.014000	1.032685	0.999419	1.000000	1.000377	0.253083	0.248908	0.248981	0.249028	0.000000	1201.000000	0.000000	0.000000	0.000000
1300.000000	-0.005654	-0.000736	0.000754	-0.001021	-0.000730	0.000109	0.001381	-0.006615	-0.000071	0.136441	0.730000	0.142485	0.369379	0.108827	0.150000	0.120000	0.100000	0.016000	1.033257	1.003203	1.000000	1.000000	0.253030	0.249256	0.248857	0.248857	0.000000	1301.000000	0.000000	0.000000	0.000000
1400.000000	-0.014122	0.001891	0.001793	0.002199	-0.000120	0.000417	-0.000704	-0.011588	0.000256	0.136227	0.730000	0.100000	0.380000	0.100000	0.220373	0.120000	0.100000	0.018000	1.032319	1.006167	1.000000	1.000000	0.252848	0.249563	0.248795	0.248795	0.000000	1401.000000	0.000000	0.000000	0.000000
1500.000000	-0.011976	-0.000591	-0.000597	0.004657	-0.000175	0.000047	0.000379	-0.010633	0.000447	0.116582	0.730000	0.117715	0.375571	0.100000	0.150000	0.120000	0.100000	0.020000	1.032909	1.006319	1.000000	1.000597	0.252880	0.249540	0.248753	0.248827	0.000000	1501.000000	0.000000	0.000000	0.000000
1600.000000	-0.004083	0.001608	-0.000111	0.002821	0.001519	-0.000272	-0.000252	-0.003130	0.000227	0.117254	0.686518	0.100000	0.401741	0.100000	0.175206	0.120000	0.100000	0.022000	1.032652	1.001243	0.999494	0.999503	0.253066	0.249123	0.248905	0.248906	0.000000	1601.000000	0.000000	0.000000	0.000000
1700.000000	-0.008723	0.005878	-0.000595	0.001190	0.000128	0.000864	0.001646	-0.009146	0.000250	0.114714	0.730000	0.100000	0.380000	0.100000	0.150000	0.120000	0.100000	0.024000	1.032947	1.001450	0.999957	1.000544	0.253040	0.249086	0.248900	0.248973	0.000000	1701.000000	0.000000	0.000000	0.000000
1800.000000	-0.000478	-0.001678	-0.000334	0.000740	0.000060	0.000149	-0.003190	0.000441	0.000008	0.116950	0.530000	0.150347	0.467413	0.100000	0.300000	0.120000	0.100000	0.026000	1.032677	1.001079	0.999980	1.000310	0.253033	0.249067	0.248930	0.248971	0.000000	1801.000000	0.000000	0.000000	0.000000
1900.000000	-0.000827	-0.007678	0.002824	-0.000248	0.000788	-0.000396	0.002169	-0.000451	-0.000199	0.055186	0.552532	0.254956	0.429995	0.104985	0.150000	0.120000	0.100000	0.028000	1.032690	1.004267	0.999737	0.999685	0.252961	0.249391	0.248827	0.248821	0.000000	1901.000000	0.000000	0.000000	0.000000
2000.000000	-0.004805	-0.000143	0.000107	0.001109	-0.000202	-0.000348	0.000280	-0.004204	0.000082	0.129585	0.730000	0.104300	0.378925	0.100000	0.150000	0.120000	0.100000	0.030000	1.032308	1.002480	1.000000	1.000000	0.252963	0.249218	0.248909	0.248909	0.000000	2001.000000	0.000000	0.000000	0.000000
2100.000000	0.000783	-0.004372	-0.001148	-0.002967	-0.000141	-0.000524	0.002920	0.001086	-0.000066	0.135259	0.530000	0.290502	0.432374	0.101655	0.150000	0.120000	0.100000	0.032000	1.036431	1.001800	1.000783	1.001148	0.253313	0.248965	0.248838	0.248884	0.000000	2101.000000	0.000000	0.000000	0.000000
2200.000000	0.001920	-0.001160	-0.002478	-0.000446	-0.000258	0.000089	0.000704	0.001382	-0.000103	0.137643	0.530000	0.143707	0.469073	0.102566	0.150000	0.120000	0.100000	0.034000	1.035224	0.999621	1.001920	1.002478	0.253190	0.248723	0.249009	0.249078	0.000000	2201.000000	0.000000	0.000000	0.000000
2300.000000	-0.007019	0.008021	0.001963	0.001136	-0.001215	0.000437	-0.003038	-0.005442	0.000287	0.108164	0.730000	0.100000	0.380000	0.100000	0.300000	0.120000	0.100000	0.036000	1.032171	0.999528	1.000000	1.000000	0.253043	0.248946	0.249005	0.249005	0.000000	2301.000000	0.000000	0.000000	0.000000
2400.000000	0.014187	0.000613	0.001754	-0.003551	0.000917	0.000599	-0.000948	0.007278	-0.000427	0.119818	0.530000	0.171011	0.462247	0.110685	0.244801	0.120000	0.100000	0.038000	1.036010	0.992650	1.013877	0.999633	0.253195	0.247765	0.250409	0.248631	0.000000	2401.000000	0.000000	0.000000	0.000000
2500.000000	0.001755	0.014550	0.008463	0.002599	0.000058	0.000807	-0.005442	-0.009950	0.000085	0.097107	0.730000	0.100000	0.380000	0.100000	0.300000	0.120000	0.100000	0.040000	1.032343	0.991901	1.001736	0.999977	0.253245	0.248176	0.249399	0.249180	0.000000	2501.000000	0.000000	0.000000	0.000000
2600.000000	-0.000506	0.019268	0.000544	-0.002590	-0.000133	0.000720	-0.002011	0.000692	0.000070	0.121547	0.530000	0.151805	0.467049	0.100000	0.300000	0.120000	0.100000	0.040000	1.034908	0.990711	1.000000	1.000000	0.253579	0.248037	0.249192	0.249192	0.000000	2601.000000	0.000000	0.000000	0.000000
2700.000000	0.004846	-0.002252	0.003420	0.000366	-0.000054	0.000031	0.002211	0.011968	0.000052	0.149609	0.530000	0.167555	0.463111	0.108388	0.150000	0.120000	0.100000	0.040000	1.032328	0.998710	1.004846	1.000000	0.252931	0.248715	0.249479	0.248875	0.000000	2701.000000	0.000000	0.000000	0.000000
2800.000000	0.013700	0.002502	0.001069	-0.001450	0.000049	-0.000151	-0.001542	-0.003279	-0.000062	0.133195	0.693933	0.128995	0.390785	0.101557	0.300000	0.120000	0.100000	0.040000	1.033792	0.991947	1.013683	0.999981	0.253003	0.247764	0.250472	0.248761	0.000000	2801.000000	0.000000	0.000000	0.000000
2900.000000	0.007942	0.003079	0.002713	0.001279	-0.000061	-0.000477	-0.001785	0.003627	-0.000107	0.114004	0.530000	0.100000	0.480000	0.102672	0.300000	0.120000	0.100000	0.040000	1.032327	0.994507	1.007942	1.000000	0.252965	0.248226	0.249900	0.248909	0.000000	2901.000000	0.000000	0.000000	0.000000
3000.000000	0.002079	-0.004896	0.003471	-0.000975	-0.000301	0.000327	-0.001681	0.007655	-0.000064	0.116909	0.530000	0.266392	0.438402	0.101592	0.300000	0.120000	0.100000	0.040000	1.033270	1.001416	1.002079	1.000000	0.253022	0.249024	0.249106	0.248848	0.000000	3001.000000	0.000000	0.000000	0.000000
3100.000000	0.010127	0.000273	-0.004863	-0.001250	-0.000245	-0.000070	0.001319	0.009466	-0.000170	0.123393	0.530000	0.124990	0.473752	0.107792	0.150000	0.120000	0.100000	0.040000	1.038415	0.994826	1.010127	1.004863	0.253308	0.247847	0.249751	0.249094	0.000000	3101.000000	0.000000	0.000000	0.000000
3200.000000	0.007999	0.003860	0.002161	-0.000057	0.000369	-0.000259	0.002201	-0.001182	0.000023	0.130441	0.589119	0.101138	0.450156	0.100000	0.150000	0.120000	0.100000	0.040000	1.032442	0.994090	1.007875	0.999852	0.252996	0.248191	0.249907	0.248907	0.000000	3201.000000	0.000000	0.000000	0.000000
3300.000000	0.002038	0.003067	-0.004089	-0.000335	0.000153	0.000323	-0.005405	-0.002922	-0.000020	0.127776	0.676080	0.106702	0.405284	0.100512	0.300000	0.120000	0.100000	0.040000	1.036780	0.997451	1.001987	1.004028	0.253354	0.248421	0.248985	0.249239	0.000000	3301.000000	0.000000	0.000000	0.000000
3400.000000	0.001233	0.007931	0.001013	-0.000564	-0.000167	0.001022	-0.003094	-0.004501	-0.000011	0.118957	0.730000	0.111289	0.377178	0.100287	0.300000	0.120000	0.100000	0.040000	1.032877	0.995434	1.001233	1.000000	0.253200	0.248504	0.249225	0.249072	0.000000	3401.000000	0.000000	0.000000	0.000000
3500.000000	0.007902	-0.002052	-0.003523	0.000858	-0.000043	-0.000093	0.005201	0.001025	0.000020	0.126813	0.530000	0.161558	0.464611	0.100000	0.150000	0.120000	0.100000	0.040000	1.035853	0.997092	1.007902	1.003523	0.253107	0.248249	0.249595	0.249049	0.000000	3501.000000	0.000000	0.000000	0.000000
3600.000000	-0.008676	-0.000263	0.002213	-0.000194	0.000133	0.000031	-0.000075	0.002865	-0.000006	0.119931	0.530000	0.111763	0.477059	0.100144	0.157478	0.120000	0.100000	0.040000	1.032547	1.004488	0.999956	0.999947	0.252925	0.249402	0.248837	0.248836	0.000000	3601.000000	0.000000	0.000000	0.000000
3700.000000	-0.023064	-0.004007	-0.000298	0.000748	-0.000112	-0.000410	-0.001508	-0.004895	-0.000092	0.113260	0.730000	0.220223	0.349944	0.102289	0.300000	0.120000	0.100000	0.040000	1.032618	1.013674	1.000000	1.000298	0.252630	0.250248	0.248543	0.248580	0.000000	3701.000000	0.000000	0.000000	0.000000
3800.000000	0.020934	0.002390	0.000902	0.000378	0.000210	0.000905	-0.003758	0.003962	0.000020	0.097452	0.530000	0.100000	0.480000	0.100000	0.300000	0.120000	0.100000	0.040000	1.032364	0.988448	1.020862	0.999916	0.252752	0.247262	0.251302	0.248684	0.000000	3801.000000	0.000000	0.000000	0.000000
3900.000000	-0.002504	0.003823	0.005524	-0.000236	0.000513	0.000453	0.000449	-0.004359	-0.000049	0.121474	0.730000	0.104717	0.378821	0.101233	0.150000	0.120000	0.100000	0.040000	1.032641	0.999346	0.999829	0.999795	0.253105	0.248926	0.248986	0.248982	0.000000	3901.000000	0.000000	0.000000	0.000000
4000.000000	-0.014250	-0.005002	-0.002507	-0.000744	-0.000292	-0.000840	0.001317	-0.009644	0.000031	0.050988	0.730000	0.264888	0.338778	0.100000	0.150000	0.120000	0.100000	0.040000	1.035547	1.009683	1.000000	1.002507	0.252963	0.249713	0.248506	0.248818	0.000000	4001.000000	0.000000	0.000000	0.000000
4100.000000	-0.008518	-0.002187	-0.003773	0.001317	0.000004	0.000683	-0.004204	-0.000911	0.000052	0.097139	0.575543	0.165609	0.440826	0.100000	0.300000	0.120000	0.100000	0.040000	1.036109	1.005372	0.999999	1.003771	0.253112	0.249252	0.248583	0.249053	0.000000	4101.000000	0.000000	0.000000	0.000000
4200.000000	-0.002478	0.004902	0.006607	0.001514	-0.000051	0.000616	-0.002378	-0.002214	0.000050	0.110274	0.640718	0.100000	0.424641	0.100000	0.300000	0.120000	0.100000	0.040000	1.032328	0.998795	1.000000	1.000000	0.253081	0.248873	0.249023	0.249023	0.000000	4201.000000	0.000000	0.000000	0.000000
