iter	adv_max	adv_avg	adv_min	adv_std	mi_max	mi_avg	mi_min	mi_std	r_cons_avg	r_sense_avg	r_intra_avg	r_shape_div_avg	norm_pen_avg	safety_avg	spread_avg	real_fake_loss	ca_blend	ca_rfl_gate	ca_has_data	ks_winner
100.000000	-1.062870	-1.094037	-1.126361	0.010076	-2.387446	-2.397331	-2.404760	0.002843	0.232899	0.006418	0.928392	0.425597	0.076412	9.138339	0.212799	0.629137	0.000000	0.000000	1.000000	0.000000
200.000000	-1.236958	-1.305652	-1.374297	0.020791	-2.366123	-2.388678	-2.406388	0.007274	0.258946	0.007116	0.900392	0.439292	0.070914	9.148331	0.219646	0.588072	0.000000	0.438554	1.000000	0.000000
300.000000	-1.144143	-1.242557	-1.388822	0.036911	-2.264349	-2.315038	-2.380898	0.020055	0.231499	0.012278	0.992261	0.352503	0.028001	9.241707	0.176252	0.533470	0.000000	1.000000	1.000000	0.000000
400.000000	-1.295130	-1.432386	-1.562259	0.045951	-1.949477	-2.206631	-2.503824	0.080724	0.225551	0.012453	0.975253	0.346219	0.046656	9.337120	0.173109	0.465762	0.000000	1.000000	1.000000	0.000000
500.000000	-1.481716	-1.657566	-1.993764	0.073683	-1.634207	-2.083810	-2.663180	0.185848	0.182386	0.014928	0.996783	0.298595	0.053641	9.507039	0.149298	0.425498	0.000000	0.909960	1.000000	0.000000
600.000000	-1.691097	-1.882936	-2.145001	0.077453	-1.275150	-1.843038	-2.829528	0.279300	0.152636	0.023752	0.982104	0.223536	0.040748	9.971125	0.111768	0.396072	0.000000	0.321437	1.000000	0.000000
700.000000	-1.660792	-1.782429	-1.939978	0.050148	-1.087952	-1.696940	-2.804288	0.304746	0.119667	0.020034	0.977046	0.196504	0.039007	10.052816	0.098252	0.361008	0.000000	0.000000	1.000000	0.000000
800.000000	-1.660012	-1.763913	-1.942866	0.046470	-0.814745	-1.390089	-3.036366	0.274371	0.094559	0.028843	0.958438	0.161558	0.026729	10.584986	0.080779	0.380988	0.000000	0.019754	1.000000	0.000000
900.000000	-1.876413	-2.022425	-2.155904	0.044507	-0.815252	-1.774902	-3.915721	0.496969	0.120273	0.028584	0.987228	0.198058	0.046677	10.008413	0.099029	0.354419	0.000000	0.000000	1.000000	0.000000
1000.000000	-2.058564	-2.198280	-2.362815	0.053505	-0.633198	-1.301647	-2.850677	0.384135	0.096878	0.033483	0.940982	0.146048	0.024626	10.703186	0.073024	0.333605	0.000000	0.000000	1.000000	0.000000
